Date,Clicks,Impressions,CTR,Position
2026-02-12,2,8,25%,2.6
2026-02-13,1,5,20%,2.6
2026-02-14,1,4,25%,5.5
2026-02-15,0,2,0%,7
2026-02-16,1,6,16.67%,4.2
2026-02-17,4,9,44.44%,4.9
2026-02-18,1,3,33.33%,2.3
2026-02-19,2,8,25%,7.8
2026-02-20,0,3,0%,6.7
2026-02-21,0,5,0%,5.4
2026-02-22,0,2,0%,8
2026-02-23,0,3,0%,10.7
2026-02-24,1,4,25%,4
2026-02-25,1,5,20%,3.8
2026-02-26,2,4,50%,4.5
2026-02-27,2,2,100%,1.5
2026-02-28,0,1,0%,2
2026-03-01,1,2,50%,3.5
2026-03-02,1,5,20%,4
2026-03-03,0,5,0%,5
2026-03-04,1,2,50%,4.5
2026-03-05,0,0,,
2026-03-06,2,9,22.22%,9.3
2026-03-07,3,10,30%,18.6
2026-03-08,3,6,50%,13.2
2026-03-09,5,7,71.43%,1.6
2026-03-10,3,45,6.67%,2.1
2026-03-11,3,12,25%,9.7
2026-03-12,1,19,5.26%,19.6
2026-03-13,4,20,20%,58.6
2026-03-14,3,45,6.67%,48.6
2026-03-15,3,51,5.88%,45.7
2026-03-16,2,55,3.64%,48.4
2026-03-17,5,75,6.67%,37.4
2026-03-18,6,108,5.56%,48.4
2026-03-19,8,154,5.19%,54.4
2026-03-20,4,172,2.33%,60
2026-03-21,1,121,0.83%,66.4
2026-03-22,2,173,1.16%,56.3
2026-03-23,4,196,2.04%,51.3
2026-03-24,1,204,0.49%,55.3
2026-03-25,0,189,0%,51.5
2026-03-26,3,267,1.12%,65.8
2026-03-27,2,215,0.93%,51.8
2026-03-28,2,184,1.09%,52.7
2026-03-29,2,203,0.99%,38.2
2026-03-30,1,296,0.34%,34.7
2026-03-31,3,229,1.31%,31.8
2026-04-01,4,342,1.17%,24
2026-04-02,2,222,0.9%,27.6
2026-04-03,1,230,0.43%,24.9
2026-04-04,3,181,1.66%,18.3
2026-04-05,0,152,0%,19.4
2026-04-06,0,143,0%,19.4
2026-04-07,8,151,5.3%,28.8
2026-04-08,3,127,2.36%,23.8
2026-04-09,4,128,3.12%,36
2026-04-10,3,101,2.97%,24
2026-04-11,2,177,1.13%,30.8
2026-04-12,3,166,1.81%,28.6
2026-04-13,6,125,4.8%,25.1
2026-04-14,1,127,0.79%,26.4
2026-04-15,2,142,1.41%,33.1
2026-04-16,4,158,2.53%,44
2026-04-17,1,171,0.58%,29.1
2026-04-18,1,140,0.71%,39.1
2026-04-19,2,153,1.31%,33.9
2026-04-20,7,183,3.83%,34.9
2026-04-21,1,221,0.45%,38.4
2026-04-22,2,218,0.92%,30.1
2026-04-23,3,241,1.24%,31.7
2026-04-24,1,241,0.41%,25.7
2026-04-25,4,217,1.84%,30.5
2026-04-26,3,170,1.76%,31.1
2026-04-27,2,256,0.78%,27.8
2026-04-28,3,241,1.24%,27.5
2026-04-29,2,192,1.04%,32
2026-04-30,5,199,2.51%,25.6
2026-05-01,3,157,1.91%,29.4
2026-05-02,2,136,1.47%,29.4
2026-05-03,2,143,1.4%,35.2
2026-05-04,1,292,0.34%,40.8
