Country,Clicks,Impressions,CTR,Position
United States,89,5587,1.59%,43.22
India,23,280,8.21%,30.06
Indonesia,10,131,7.63%,14.14
Pakistan,7,89,7.87%,18.44
Philippines,5,108,4.63%,49.18
Nigeria,4,13,30.77%,5.23
United Kingdom,3,394,0.76%,52.48
Canada,3,205,1.46%,19.02
France,3,132,2.27%,18.27
Italy,3,104,2.88%,12.8
South Korea,3,80,3.75%,22.66
Uzbekistan,3,16,18.75%,4.25
Germany,2,153,1.31%,20.53
Netherlands,2,84,2.38%,14.9
China,2,84,2.38%,28.86
Vietnam,2,66,3.03%,20.89
Bangladesh,2,36,5.56%,18.67
Thailand,2,30,6.67%,24.63
Egypt,2,20,10%,25.85
Sri Lanka,2,14,14.29%,43.64
Spain,1,124,0.81%,18.93
Australia,1,108,0.93%,22.68
Japan,1,66,1.52%,14.89
Argentina,1,39,2.56%,15.41
Israel,1,34,2.94%,35.18
Austria,1,30,3.33%,9.9
Romania,1,29,3.45%,11
Morocco,1,16,6.25%,18.81
Denmark,1,11,9.09%,13.27
Albania,1,7,14.29%,17
Armenia,1,6,16.67%,15.5
Guatemala,1,5,20%,13
Jamaica,1,4,25%,2.75
Zimbabwe,1,3,33.33%,6.33
Kosovo,1,2,50%,2
Macedonia,1,2,50%,57
Brazil,0,193,0%,27.63
Sweden,0,66,0%,22.53
Mexico,0,59,0%,10.51
Russia,0,49,0%,10.96
Switzerland,0,48,0%,35.38
Singapore,0,44,0%,20.48
Poland,0,41,0%,12.1
Hong Kong,0,35,0%,21.03
Malaysia,0,33,0%,12.97
Turkey,0,33,0%,17.3
United Arab Emirates,0,33,0%,37.52
Ukraine,0,32,0%,12.19
Colombia,0,29,0%,11.59
Belgium,0,28,0%,10.79
Peru,0,25,0%,11.24
Greece,0,25,0%,32.12
South Africa,0,24,0%,22.04
Taiwan,0,23,0%,12.74
Iran,0,21,0%,8.33
Finland,0,21,0%,9.43
Algeria,0,19,0%,25.16
New Zealand,0,18,0%,31.28
Portugal,0,16,0%,18.5
Czechia,0,15,0%,13.8
Ireland,0,14,0%,33.36
Hungary,0,12,0%,16.17
Norway,0,12,0%,18.08
Iraq,0,12,0%,30.5
Serbia,0,11,0%,7.09
Ecuador,0,11,0%,16.36
Saudi Arabia,0,11,0%,21.73
Dominican Republic,0,10,0%,7.3
Kenya,0,10,0%,28
Nepal,0,9,0%,6.67
Venezuela,0,9,0%,7.89
Kazakhstan,0,9,0%,14.44
Slovakia,0,8,0%,5.62
Puerto Rico,0,8,0%,7.38
Chile,0,8,0%,7.5
Honduras,0,8,0%,7.62
Uruguay,0,7,0%,6.43
Belarus,0,7,0%,6.57
Panama,0,6,0%,9
Slovenia,0,6,0%,10.67
Bolivia,0,6,0%,16.5
Estonia,0,6,0%,23.33
Luxembourg,0,6,0%,25
Lithuania,0,6,0%,45.33
Azerbaijan,0,5,0%,5.2
Cuba,0,5,0%,7.8
Lebanon,0,5,0%,8.4
Bulgaria,0,5,0%,9.2
Croatia,0,5,0%,25
Oman,0,5,0%,41.4
Ethiopia,0,4,0%,3
Yemen,0,4,0%,3.5
Bosnia & Herzegovina,0,4,0%,5.25
Congo - Kinshasa,0,4,0%,10.5
Paraguay,0,4,0%,15
Myanmar (Burma),0,4,0%,16.75
Cambodia,0,4,0%,23.75
Latvia,0,4,0%,43
Jordan,0,4,0%,56
Iceland,0,4,0%,64.75
Syria,0,3,0%,6.67
Senegal,0,3,0%,7.67
Mongolia,0,3,0%,11.67
Moldova,0,3,0%,18.33
Tunisia,0,3,0%,20
Georgia,0,3,0%,28.67
Tanzania,0,3,0%,32
Kuwait,0,3,0%,34.67
Ghana,0,3,0%,47.67
Laos,0,2,0%,3.5
Nicaragua,0,2,0%,4.5
Costa Rica,0,2,0%,7.5
Mauritius,0,2,0%,9
Guyana,0,2,0%,13
Cameroon,0,2,0%,26.5
Cyprus,0,2,0%,42.5
Bahrain,0,2,0%,48.5
Mozambique,0,2,0%,49
Monaco,0,2,0%,49.5
Qatar,0,2,0%,49.5
Angola,0,2,0%,77
Palestine,0,1,0%,1
North Korea,0,1,0%,3
Bermuda,0,1,0%,4
Greenland,0,1,0%,4
Zambia,0,1,0%,4
Barbados,0,1,0%,5
Maldives,0,1,0%,5
Bahamas,0,1,0%,6
Gabon,0,1,0%,6
Somalia,0,1,0%,6
Unknown Region,0,1,0%,6
American Samoa,0,1,0%,8
Benin,0,1,0%,8
Guinea-Bissau,0,1,0%,8
Martinique,0,1,0%,8
Isle of Man,0,1,0%,9
Trinidad & Tobago,0,1,0%,9
Afghanistan,0,1,0%,11
Malta,0,1,0%,11
Rwanda,0,1,0%,83
Liechtenstein,0,1,0%,88
