PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
20,https://videotext.io/zoom-recording-transcription,Zoom Recording Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/news-interview-transcript,News Interview Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-webinar-to-text,Convert Webinar to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/interview-transcript,Interview Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-memo-to-transcription,Voice Memo to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/video-podcast-to-transcript,Video Podcast to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/documentary-to-transcript,Documentary to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/research-interview-transcript,Research Interview Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/class-recording-transcript,Class Recording Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/open-captions-vs-closed-captions,Open Captions vs Closed Captions — What's the Difference? | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/training-video-to-transcription,Training Video to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-news-interview-to-text,Convert News Interview to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/spreaker-alternative,Best Spreaker Alternative for Podcast Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/free-speech-to-text,Free Speech to Text Online — Voice & Video Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/class-recording-subtitles,Class Recording Subtitles – Generate SRT | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tutorial-video-transcription,Tutorial Video Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools/merge-srt-files,Merge SRT Files — Combine Two Subtitle Files Free | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/presentation-to-transcript,Presentation to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-marketing-video,Transcribe Marketing Video to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/product-demo-transcription,Product Demo Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/presentation-subtitles,Presentation Subtitles – Generate SRT | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-video-interview,Transcript from Video Interview | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/focus-group-recording-to-text,Focus Group Recording to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/podcast-transcription,Podcast Transcription – Convert Episodes to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/faq,"FAQ — Privacy, Billing, Tools | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/shorts-captions,YouTube Shorts Captions — Auto Subtitles for Shorts | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/ada-video-captions,ADA Video Captions — Add Captions for ADA Section 508 Compliance | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
