page,clicks,impressions,ctr,position
/srt-generator,258,7777,0.0332,8.63
/video-to-srt,264,5196,0.0508,8.61
/,124,3520,0.0352,30.57
/youtube-transcript-generator,25,2435,0.0103,56.12
/capcut-captions,69,2149,0.0321,8.19
/tools/video-metadata-viewer,88,2147,0.0410,22.73
/tools/ttml-to-srt,166,1786,0.0929,4.05
/translate-subtitles,13,1591,0.0082,8.93
/burn-subtitles-into-video,82,1533,0.0535,8.36
/tools/subtitle-validator,33,1219,0.0271,11.66
/subtitle-tools,8,1209,0.0066,15.95
/subtitle-resources,0,1099,0.0000,29.80
/burn-subtitles,74,1011,0.0732,14.57
/tools/subtitle-character-checker,9,799,0.0113,9.30
/tools/merge-srt-files,13,792,0.0164,30.05
/subtitle-translator,0,727,0.0000,60.19
/subtitle-grammar-fixer,41,715,0.0573,6.76
/guide,1,654,0.0015,63.29
/video-to-transcript,24,635,0.0378,18.77
/srt-to-word,2,612,0.0033,10.06
/vimeo-transcription,30,596,0.0503,24.43
/interview-transcription-tool,1,514,0.0019,52.68
/tools/shift-subtitle-timing,6,513,0.0117,29.28
/subtitle-line-break-fixer,20,485,0.0412,9.74
/gotranscript-test-guide,3,477,0.0063,8.20
/tools/timestamp-converter,11,467,0.0236,27.65
/guideline-format,2,451,0.0044,15.03
/tools/video-script-timer,1,444,0.0023,22.24
/google-meet-transcript,0,432,0.0000,58.68
/best-descript-alternatives,0,430,0.0000,24.01
/meeting-transcription-tool,0,392,0.0000,67.09
/multilingual-subtitles,8,366,0.0219,13.33
/tools/subtitle-word-counter,19,357,0.0532,9.87
/zoom-meeting-transcript,1,350,0.0029,52.01
/best-transcription-tool,1,318,0.0031,65.82
/tools/srt-to-vtt,0,274,0.0000,40.50
/gotranscript-transcription-rules,0,273,0.0000,8.49
/french-transcription,5,249,0.0201,11.90
/fix-subtitles,4,241,0.0166,27.38
/riverside-transcription,0,216,0.0000,8.27
/sdh-subtitles,7,215,0.0326,19.60
/transcription-tools,0,215,0.0000,67.03
/loom-transcription,3,205,0.0146,53.62
/tools,0,204,0.0000,64.49
/meeting-recording-to-transcript,0,190,0.0000,65.75
/lecture-transcription,1,170,0.0059,36.96
/compare,0,165,0.0000,37.32
/screen-recording-transcript,3,157,0.0191,9.89
/tools/aspect-ratio-calculator,3,157,0.0191,11.72
/video-to-subtitles,0,156,0.0000,46.91
/fastest-transcription-tool,0,155,0.0000,26.23
/tools/subtitle-reading-speed,1,154,0.0065,16.98
/subtitle-maker,0,141,0.0000,55.59
/ai-transcription-tools,1,138,0.0072,58.33
/gotranscript-guidelines,1,133,0.0075,8.57
/transcription-service,5,128,0.0391,53.08
/chinese-transcription,3,122,0.0246,28.36
/voice-recorder,3,117,0.0256,27.44
/accuracy-test,0,111,0.0000,49.54
/descript-vs-videotext,0,110,0.0000,23.23
/happyscribe-alternative,2,108,0.0185,7.89
/gotranscript-style-guide,0,104,0.0000,9.13
/video-to-transcription,0,100,0.0000,60.88
/compress-video,1,90,0.0111,26.44
/capcut-alternative,1,87,0.0115,8.66
/rev-style-guide,0,84,0.0000,8.87
/gotranscript-transcription-format,2,80,0.0250,10.03
/happy-scribe-format-guide,0,80,0.0000,14.82
/transcribeme-exam-guide,0,79,0.0000,9.70
/samples,0,78,0.0000,46.15
/teams-meeting-transcript,0,72,0.0000,32.49
/ai-transcription-workflow,0,69,0.0000,44.28
/transcribeme-guidelines,0,64,0.0000,9.61
/subtitle-edit-alternative,0,62,0.0000,37.18
/hindi-transcription,0,60,0.0000,65.12
/microsoft-teams-alternative,1,59,0.0169,9.42
/transcribeme-style-guide,0,57,0.0000,7.63
/submagic-alternative,1,55,0.0182,12.40
/about,0,53,0.0000,15.49
/panopto-transcription,1,52,0.0192,35.62
/alternatives,0,52,0.0000,34.96
/fastest-transcription-software,0,49,0.0000,36.06
/rev-transcript-guidelines,1,46,0.0217,17.43
/tools/srt-to-text,3,45,0.0667,24.33
/transcribeme-format-guide,0,43,0.0000,7.26
/scribie-transcription-guidelines,0,41,0.0000,4.37
/free-voice-to-text,3,39,0.0769,11.49
/pricing,1,38,0.0263,52.05
/macwhisper-alternative,0,38,0.0000,11.74
/speechpad-format-guide,0,36,0.0000,24.31
/best-video-transcription-tool,0,34,0.0000,57.56
/happy-scribe-transcription-guidelines,0,34,0.0000,18.47
/transcription-benchmark,0,34,0.0000,31.29
/rev-transcription-requirements,0,33,0.0000,19.79
/best-youtube-transcription-tool,0,32,0.0000,58.97
/3play-media-format-guide,0,31,0.0000,7.77
/best-transcription-tool-for-students,1,29,0.0345,31.69
/buzz-alternative,0,29,0.0000,7.31
/podcast-transcription-tool,0,29,0.0000,47.45
/korean-transcription,0,28,0.0000,16.21
/youtube-auto-captions-alternative,0,28,0.0000,8.64
/german-transcription,1,27,0.0370,47.81
/italian-transcription,0,27,0.0000,19.26
/ogg-to-text,0,26,0.0000,52.04
/notta-alternative,0,24,0.0000,15.79
/video-to-text-converter,0,24,0.0000,72.83
/youtube-captions,2,22,0.0909,9.59
/rev-transcription-format,0,22,0.0000,18.86
/tools/ass-to-srt,0,22,0.0000,16.64
/youtube-video-to-transcript,0,22,0.0000,48.05
/transcription-for-students,1,21,0.0476,57.81
/elevenlabs-alternative,1,20,0.0500,9.25
/podcast-transcription,1,20,0.0500,45.00
/best-otter-alternatives,0,20,0.0000,50.65
/japanese-transcription,0,20,0.0000,13.65
/open,0,19,0.0000,22.68
/temi-vs-videotext,0,19,0.0000,15.16
/tools/words-per-minute-calculator,0,19,0.0000,6.74
/adobe-premiere-captions-alternative,0,18,0.0000,8.06
/riverside-alternative,0,18,0.0000,18.94
/videotext-vs-rev,0,17,0.0000,26.71
/auto-subtitle-generator,0,16,0.0000,68.88
/changelog,0,16,0.0000,9.75
/interview-transcription,0,16,0.0000,73.56
/scribie-style-guide,0,16,0.0000,4.81
/meeting-transcription,1,15,0.0667,37.27
/reels-captions,0,15,0.0000,9.73
/scribie-transcription-rules,0,15,0.0000,10.93
/auto-captions,1,14,0.0714,18.86
/kapwing-alternative,1,13,0.0769,33.69
/descript-alternative,0,13,0.0000,21.62
/transcribio-guidelines,2,12,0.1667,12.67
/movavi-alternative,0,12,0.0000,20.83
/subtitle-timing-fixer,0,12,0.0000,7.75
/tools/sbv-to-srt,0,12,0.0000,30.92
/videotext-vs-turboscribe,0,12,0.0000,24.17
/whisper-transcription,0,12,0.0000,39.33
/online-subtitle-editor,1,11,0.0909,47.45
/rev-alternative,0,11,0.0000,20.00
/scribie-format-guide,0,11,0.0000,2.18
/youtube-subtitle-generator,0,11,0.0000,8.82
/assembly-ai-alternative,1,10,0.1000,8.20
/subtitle-converter,1,10,0.1000,61.90
/granola-alternative,0,10,0.0000,18.00
/speechify-alternative,0,10,0.0000,28.60
/tiktok-captions,2,9,0.2222,12.22
/faq,0,9,0.0000,15.89
/google-docs-voice-typing-alternative,0,9,0.0000,39.44
/hardcoded-captions,0,9,0.0000,45.33
/youtube-to-transcript,0,9,0.0000,60.22
/gmr-transcript-format-guide,0,8,0.0000,8.38
/notability-alternative,0,8,0.0000,6.50
/rev-ai-transcription-guide,0,8,0.0000,26.88
/tools/vtt-to-srt,0,8,0.0000,24.50
/daily-transcripts-guidelines,0,7,0.0000,22.86
/panopto-alternative,0,7,0.0000,15.43
/skribo-alternative,0,7,0.0000,6.14
/sonix-alternative,0,7,0.0000,10.29
/tactiq-alternative,0,7,0.0000,7.57
/privacy,1,6,0.1667,6.67
/instagram-reel-transcript,0,6,0.0000,7.67
/terms,0,6,0.0000,7.67
/transcribeme-transcription-style,0,6,0.0000,15.50
/verbit-format-guide,0,6,0.0000,5.17
/whispertype-alternative,0,6,0.0000,28.67
/castmagic-alternative,1,5,0.2000,7.80
/3play-media-transcription-guidelines,0,5,0.0000,33.60
/dictation-io-alternative,0,5,0.0000,17.80
/free-speech-to-text,0,5,0.0000,65.20
/microphone-to-text,0,5,0.0000,53.20
/otter-alternative,0,5,0.0000,16.20
/otter-vs-videotext,0,5,0.0000,31.20
/spanish-transcription,0,5,0.0000,31.40
/transcribio-style-guide,0,5,0.0000,4.40
/trint-alternative,0,5,0.0000,9.40
/whisperx-alternative,0,5,0.0000,8.60
/zoom-alternative,0,5,0.0000,38.20
/zoom-recording-transcription,0,5,0.0000,61.00
/gmr-transcription-guidelines,1,4,0.2500,22.25
/deepgram-alternative,0,4,0.0000,7.75
/dictation-tool,0,4,0.0000,53.25
