Country,Clicks,Impressions,CTR,Position
United States,73,3155,2.31%,47.65
India,13,197,6.6%,34.15
Indonesia,6,77,7.79%,13
Pakistan,5,48,10.42%,22.23
Philippines,4,50,8%,42.58
South Korea,3,49,6.12%,16.18
Uzbekistan,3,13,23.08%,4.54
Nigeria,3,9,33.33%,4.44
Canada,2,132,1.52%,18.44
Vietnam,2,50,4%,21.44
Bangladesh,2,29,6.9%,20.9
United Kingdom,1,265,0.38%,55.31
Germany,1,86,1.16%,16.47
France,1,68,1.47%,12.1
Italy,1,66,1.52%,11.95
Spain,1,64,1.56%,21.41
Netherlands,1,36,2.78%,14.75
China,1,34,2.94%,7.76
Japan,1,31,3.23%,15.16
Thailand,1,24,4.17%,26.33
Argentina,1,20,5%,14.15
Austria,1,15,6.67%,7.4
Egypt,1,11,9.09%,20
Romania,1,9,11.11%,16
Denmark,1,6,16.67%,7.17
Albania,1,5,20%,8.8
Jamaica,1,4,25%,2.75
Guatemala,1,4,25%,14.25
Zimbabwe,1,3,33.33%,6.33
Kosovo,1,2,50%,2
Macedonia,1,1,100%,50
Brazil,0,133,0%,30.06
Australia,0,62,0%,20.16
Mexico,0,38,0%,10.37
Sweden,0,34,0%,11.24
Switzerland,0,33,0%,44.52
Russia,0,27,0%,8.33
Poland,0,24,0%,14.29
Singapore,0,24,0%,20.17
Israel,0,24,0%,43.29
Hong Kong,0,22,0%,15
Ukraine,0,21,0%,8.95
Malaysia,0,21,0%,13.19
Turkey,0,19,0%,20.37
United Arab Emirates,0,19,0%,51.16
Belgium,0,16,0%,12.5
Colombia,0,14,0%,5.93
Taiwan,0,14,0%,12.07
South Africa,0,14,0%,27.5
Finland,0,12,0%,8.83
Peru,0,11,0%,7.27
Iran,0,11,0%,8.64
Algeria,0,11,0%,35.64
New Zealand,0,10,0%,17.2
Portugal,0,10,0%,23.1
Greece,0,10,0%,43.1
Honduras,0,7,0%,6.14
Serbia,0,7,0%,7.57
Czechia,0,7,0%,15.71
Morocco,0,7,0%,15.71
Saudi Arabia,0,7,0%,25.86
Sri Lanka,0,7,0%,40.43
Dominican Republic,0,6,0%,5.33
Nepal,0,6,0%,6.17
Iraq,0,6,0%,53.33
Azerbaijan,0,5,0%,5.2
Belarus,0,5,0%,6.6
Kazakhstan,0,5,0%,10
Ecuador,0,5,0%,25
Ireland,0,5,0%,26.8
Norway,0,5,0%,28.6
Slovenia,0,4,0%,2.75
Chile,0,4,0%,7.75
Lebanon,0,4,0%,8
Puerto Rico,0,4,0%,9.5
Panama,0,4,0%,10
Bulgaria,0,4,0%,10.5
Hungary,0,4,0%,11.5
Luxembourg,0,3,0%,3
Uruguay,0,3,0%,4
Congo - Kinshasa,0,3,0%,5.33
Myanmar (Burma),0,3,0%,9
Armenia,0,3,0%,22.67
Cambodia,0,3,0%,29.67
Kenya,0,3,0%,30
Lithuania,0,3,0%,61.33
Oman,0,3,0%,62.33
Bolivia,0,2,0%,2
Ethiopia,0,2,0%,3
Slovakia,0,2,0%,3
Venezuela,0,2,0%,3.5
Nicaragua,0,2,0%,4.5
Latvia,0,2,0%,5
Costa Rica,0,2,0%,7.5
Cuba,0,2,0%,8.5
Mongolia,0,2,0%,11
Paraguay,0,2,0%,14
Moldova,0,2,0%,22.5
Kuwait,0,2,0%,24
Jordan,0,2,0%,30.5
Georgia,0,2,0%,38
Bahrain,0,2,0%,48.5
Monaco,0,2,0%,49.5
Palestine,0,1,0%,1
Laos,0,1,0%,2
North Korea,0,1,0%,3
Tanzania,0,1,0%,3
Bermuda,0,1,0%,4
Maldives,0,1,0%,5
Bosnia & Herzegovina,0,1,0%,6
Syria,0,1,0%,6
Unknown Region,0,1,0%,6
Senegal,0,1,0%,7
Yemen,0,1,0%,7
American Samoa,0,1,0%,8
Benin,0,1,0%,8
Guinea-Bissau,0,1,0%,8
Trinidad & Tobago,0,1,0%,9
Afghanistan,0,1,0%,11
Cameroon,0,1,0%,11
Estonia,0,1,0%,15
Qatar,0,1,0%,15
Guyana,0,1,0%,17
Tunisia,0,1,0%,17
Angola,0,1,0%,73
Cyprus,0,1,0%,82
Rwanda,0,1,0%,83
